"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 20:34:57 GMT 2024","Fri Apr 12 20:35:51 GMT 2024","54658","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Fri Apr 12 20:36:58 GMT 2024","Fri Apr 12 20:37:02 GMT 2024","4110","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedFor4000SymbolsInNameTest","projectCreatedFor4000SymbolsInNameTest",""
"broken","Fri Apr 12 20:37:10 GMT 2024","Fri Apr 12 20:37:10 GMT 2024","126","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedFor4000SymbolsInNameTest","buildConfigurationCreatedFor4000SymbolsInNameTest",""
"broken","Fri Apr 12 20:37:14 GMT 2024","Fri Apr 12 20:37:15 GMT 2024","53","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyNameTest","buildConfigurationIsNotCreatedForEmptyNameTest",""
"broken","Fri Apr 12 20:37:18 GMT 2024","Fri Apr 12 20:37:18 GMT 2024","45","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"broken","Fri Apr 12 20:37:19 GMT 2024","Fri Apr 12 20:37:20 GMT 2024","46","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateBuildConfig","authorizedUserShouldBeAbleCreateBuildConfig",""
"failed","Fri Apr 12 20:37:18 GMT 2024","Fri Apr 12 20:37:18 GMT 2024","16","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"broken","Fri Apr 12 20:37:19 GMT 2024","Fri Apr 12 20:37:19 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","afterTest","afterTest",""
"broken","Fri Apr 12 20:37:11 GMT 2024","Fri Apr 12 20:37:11 GMT 2024","80","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForSpecialSymbolsInNameTest","buildConfigurationCreatedForSpecialSymbolsInNameTest",""
"broken","Fri Apr 12 20:37:06 GMT 2024","Fri Apr 12 20:37:06 GMT 2024","97","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForInvalidParentIdTest","projectIsNotCreatedForInvalidParentIdTest",""
"broken","Fri Apr 12 20:37:16 GMT 2024","Fri Apr 12 20:37:16 GMT 2024","54","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Fri Apr 12 20:37:04 GMT 2024","Fri Apr 12 20:37:04 GMT 2024","196","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForEmptyIdTest","projectIsNotCreatedForEmptyIdTest",""
"broken","Fri Apr 12 20:37:04 GMT 2024","Fri Apr 12 20:37:04 GMT 2024","179","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForStandardPositiveCaseTest","projectCreatedForStandardPositiveCaseTest",""
"broken","Fri Apr 12 20:37:17 GMT 2024","Fri Apr 12 20:37:17 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"failed","Fri Apr 12 20:37:07 GMT 2024","Fri Apr 12 20:37:07 GMT 2024","130","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForUnauthorizedUserTest","projectIsNotCreatedForUnauthorizedUserTest",""
"broken","Fri Apr 12 20:37:05 GMT 2024","Fri Apr 12 20:37:05 GMT 2024","114","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForEmptyNameTest","projectIsNotCreatedForEmptyNameTest",""
"skipped","Fri Apr 12 20:37:19 GMT 2024","Fri Apr 12 20:37:19 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","projectIsNotCreatedForInvalidUrl","projectIsNotCreatedForInvalidUrl",""
"broken","Fri Apr 12 20:37:20 GMT 2024","Fri Apr 12 20:37:20 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","afterTest","afterTest",""
"broken","Fri Apr 12 20:37:15 GMT 2024","Fri Apr 12 20:37:15 GMT 2024","52","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"skipped","Fri Apr 12 20:37:20 GMT 2024","Fri Apr 12 20:37:20 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","buildConfigurationIsNotCreatedForInvalidBuildTypeName","buildConfigurationIsNotCreatedForInvalidBuildTypeName",""
