"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 18 20:02:56 GMT 2024","Thu Apr 18 20:02:56 GMT 2024","23","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"passed","Thu Apr 18 20:02:53 GMT 2024","Thu Apr 18 20:02:53 GMT 2024","167","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyNameTest","buildConfigurationIsNotCreatedForEmptyNameTest",""
"failed","Thu Apr 18 20:02:19 GMT 2024","Thu Apr 18 20:02:23 GMT 2024","4665","Surefire suite","Surefire test","com.example.teamcity.api.AuthorizeAgentTest","com.example.teamcity.api.AuthorizeAgentTest","authorizeAgent","authorizeAgent",""
"passed","Thu Apr 18 20:02:57 GMT 2024","Thu Apr 18 20:02:57 GMT 2024","119","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Thu Apr 18 20:02:42 GMT 2024","Thu Apr 18 20:02:42 GMT 2024","241","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForRussianPolandEncodingInNameTest","projectCreatedForRussianPolandEncodingInNameTest",""
"failed","Thu Apr 18 20:02:54 GMT 2024","Thu Apr 18 20:02:54 GMT 2024","248","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Thu Apr 18 20:02:50 GMT 2024","Thu Apr 18 20:02:50 GMT 2024","249","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForStandardPositiveCaseTest","buildConfigurationCreatedForStandardPositiveCaseTest",""
"passed","Thu Apr 18 20:02:43 GMT 2024","Thu Apr 18 20:02:43 GMT 2024","161","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForStandardPositiveCaseTest","projectCreatedForStandardPositiveCaseTest",""
"passed","Thu Apr 18 20:02:52 GMT 2024","Thu Apr 18 20:02:52 GMT 2024","161","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyIdTest","buildConfigurationIsNotCreatedForEmptyIdTest",""
"passed","Thu Apr 18 20:02:55 GMT 2024","Thu Apr 18 20:02:55 GMT 2024","96","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
