"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 18 19:44:30 GMT 2024","Thu Apr 18 19:44:30 GMT 2024","204","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest",""
"passed","Thu Apr 18 19:44:24 GMT 2024","Thu Apr 18 19:44:24 GMT 2024","130","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForInvalidParentIdTest","projectIsNotCreatedForInvalidParentIdTest",""
"failed","Thu Apr 18 19:44:33 GMT 2024","Thu Apr 18 19:44:33 GMT 2024","257","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Thu Apr 18 19:44:28 GMT 2024","Thu Apr 18 19:44:29 GMT 2024","192","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForSpecialSymbolsInNameTest","buildConfigurationCreatedForSpecialSymbolsInNameTest",""
"passed","Thu Apr 18 19:44:23 GMT 2024","Thu Apr 18 19:44:23 GMT 2024","150","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForEmptyNameTest","projectIsNotCreatedForEmptyNameTest",""
"failed","Thu Apr 18 19:45:13 GMT 2024","Thu Apr 18 19:45:27 GMT 2024","13923","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateBuildConfig","authorizedUserShouldBeAbleCreateBuildConfig",""
"passed","Thu Apr 18 19:44:22 GMT 2024","Thu Apr 18 19:44:23 GMT 2024","184","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForEmptyIdTest","projectIsNotCreatedForEmptyIdTest",""
"passed","Thu Apr 18 19:44:26 GMT 2024","Thu Apr 18 19:44:27 GMT 2024","758","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedFor4000SymbolsInNameTest","buildConfigurationCreatedFor4000SymbolsInNameTest",""
"passed","Thu Apr 18 19:41:50 GMT 2024","Thu Apr 18 19:42:48 GMT 2024","57740","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Thu Apr 18 19:44:25 GMT 2024","Thu Apr 18 19:44:25 GMT 2024","73","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForUnauthorizedUserTest","projectIsNotCreatedForUnauthorizedUserTest",""
