"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 14:50:14 GMT 2024","Sun Apr 14 14:50:14 GMT 2024","143","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForSpecialSymbolsInNameTest","buildConfigurationCreatedForSpecialSymbolsInNameTest",""
"passed","Sun Apr 14 14:50:10 GMT 2024","Sun Apr 14 14:50:10 GMT 2024","95","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForStandardPositiveCaseTest","projectCreatedForStandardPositiveCaseTest",""
"skipped","Sun Apr 14 14:50:47 GMT 2024","Sun Apr 14 14:50:47 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","projectIsNotCreatedForInvalidUrl","projectIsNotCreatedForInvalidUrl",""
"passed","Sun Apr 14 14:50:15 GMT 2024","Sun Apr 14 14:50:15 GMT 2024","124","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForStandardPositiveCaseTest","buildConfigurationCreatedForStandardPositiveCaseTest",""
"passed","Sun Apr 14 14:50:13 GMT 2024","Sun Apr 14 14:50:14 GMT 2024","109","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForProjectAdminRoleTest","buildConfigurationCreatedForProjectAdminRoleTest",""
"passed","Sun Apr 14 14:50:17 GMT 2024","Sun Apr 14 14:50:17 GMT 2024","102","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Sun Apr 14 14:50:11 GMT 2024","Sun Apr 14 14:50:11 GMT 2024","141","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForTheSameIdTest","projectIsNotCreatedForTheSameIdTest",""
"passed","Sun Apr 14 14:50:16 GMT 2024","Sun Apr 14 14:50:16 GMT 2024","104","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyNameTest","buildConfigurationIsNotCreatedForEmptyNameTest",""
"passed","Sun Apr 14 14:50:09 GMT 2024","Sun Apr 14 14:50:09 GMT 2024","155","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForRussianPolandEncodingInNameTest","projectCreatedForRussianPolandEncodingInNameTest",""
"passed","Sun Apr 14 14:50:04 GMT 2024","Sun Apr 14 14:50:09 GMT 2024","5031","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedFor4000SymbolsInNameTest","projectCreatedFor4000SymbolsInNameTest",""
"passed","Sun Apr 14 14:50:09 GMT 2024","Sun Apr 14 14:50:09 GMT 2024","127","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForSpecialSymbolsInNameTest","projectCreatedForSpecialSymbolsInNameTest",""
"skipped","Sun Apr 14 14:51:01 GMT 2024","Sun Apr 14 14:51:01 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","buildConfigurationIsNotCreatedForInvalidBuildTypeName","buildConfigurationIsNotCreatedForInvalidBuildTypeName",""
"failed","Sun Apr 14 14:50:47 GMT 2024","Sun Apr 14 14:51:00 GMT 2024","13596","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateBuildConfig","authorizedUserShouldBeAbleCreateBuildConfig",""
"passed","Sun Apr 14 14:50:18 GMT 2024","Sun Apr 14 14:50:18 GMT 2024","78","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Sun Apr 14 14:50:19 GMT 2024","Sun Apr 14 14:50:19 GMT 2024","71","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"failed","Sun Apr 14 14:50:12 GMT 2024","Sun Apr 14 14:50:12 GMT 2024","80","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForUnauthorizedUserTest","projectIsNotCreatedForUnauthorizedUserTest",""
"passed","Sun Apr 14 14:50:10 GMT 2024","Sun Apr 14 14:50:10 GMT 2024","116","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForEmptyIdTest","projectIsNotCreatedForEmptyIdTest",""
"passed","Sun Apr 14 14:50:12 GMT 2024","Sun Apr 14 14:50:13 GMT 2024","510","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedFor4000SymbolsInNameTest","buildConfigurationCreatedFor4000SymbolsInNameTest",""
"failed","Sun Apr 14 14:50:18 GMT 2024","Sun Apr 14 14:50:18 GMT 2024","10","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"passed","Sun Apr 14 14:50:11 GMT 2024","Sun Apr 14 14:50:11 GMT 2024","66","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForInvalidParentIdTest","projectIsNotCreatedForInvalidParentIdTest",""
"failed","Sun Apr 14 14:50:17 GMT 2024","Sun Apr 14 14:50:17 GMT 2024","170","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sun Apr 14 14:51:01 GMT 2024","Sun Apr 14 14:51:01 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","afterTest","afterTest",""
"passed","Sun Apr 14 14:50:10 GMT 2024","Sun Apr 14 14:50:10 GMT 2024","89","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForEmptyNameTest","projectIsNotCreatedForEmptyNameTest",""
"passed","Sun Apr 14 14:50:16 GMT 2024","Sun Apr 14 14:50:16 GMT 2024","92","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyIdTest","buildConfigurationIsNotCreatedForEmptyIdTest",""
"passed","Sun Apr 14 14:47:21 GMT 2024","Sun Apr 14 14:48:21 GMT 2024","60590","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Apr 14 14:50:19 GMT 2024","Sun Apr 14 14:50:47 GMT 2024","27049","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"passed","Sun Apr 14 14:50:15 GMT 2024","Sun Apr 14 14:50:15 GMT 2024","126","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest",""
"broken","Sun Apr 14 14:50:47 GMT 2024","Sun Apr 14 14:50:47 GMT 2024","1","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","afterTest","afterTest",""
"passed","Sun Apr 14 14:49:29 GMT 2024","Sun Apr 14 14:49:53 GMT 2024","23886","Surefire suite","Surefire test","com.example.teamcity.api.AuthorizeAgentTest","com.example.teamcity.api.AuthorizeAgentTest","authorizeAgent","authorizeAgent",""
"passed","Sun Apr 14 14:50:12 GMT 2024","Sun Apr 14 14:50:12 GMT 2024","88","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigIsNotCreatedForIncorrectRoleTest","buildConfigIsNotCreatedForIncorrectRoleTest",""
