"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 12 18:31:03 GMT 2024","Fri Apr 12 18:31:03 GMT 2024","46","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Fri Apr 12 18:31:01 GMT 2024","Fri Apr 12 18:31:01 GMT 2024","84","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyIdTest","buildConfigurationIsNotCreatedForEmptyIdTest",""
"broken","Fri Apr 12 18:30:58 GMT 2024","Fri Apr 12 18:30:58 GMT 2024","61","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForProjectAdminRoleTest","buildConfigurationCreatedForProjectAdminRoleTest",""
"broken","Fri Apr 12 18:31:02 GMT 2024","Fri Apr 12 18:31:02 GMT 2024","34","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyNameTest","buildConfigurationIsNotCreatedForEmptyNameTest",""
"broken","Fri Apr 12 18:31:07 GMT 2024","Fri Apr 12 18:31:07 GMT 2024","57","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","authorizedUserShouldBeAbleCreateBuildConfig","authorizedUserShouldBeAbleCreateBuildConfig",""
"broken","Fri Apr 12 18:30:52 GMT 2024","Fri Apr 12 18:30:52 GMT 2024","115","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForEmptyNameTest","projectIsNotCreatedForEmptyNameTest",""
"passed","Fri Apr 12 18:30:55 GMT 2024","Fri Apr 12 18:30:56 GMT 2024","1474","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigIsNotCreatedForIncorrectRoleTest","buildConfigIsNotCreatedForIncorrectRoleTest",""
"broken","Fri Apr 12 18:30:50 GMT 2024","Fri Apr 12 18:30:50 GMT 2024","138","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForSpecialSymbolsInNameTest","projectCreatedForSpecialSymbolsInNameTest",""
"passed","Fri Apr 12 18:28:37 GMT 2024","Fri Apr 12 18:29:35 GMT 2024","57580","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Fri Apr 12 18:31:00 GMT 2024","Fri Apr 12 18:31:00 GMT 2024","82","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest",""
"skipped","Fri Apr 12 18:31:07 GMT 2024","Fri Apr 12 18:31:07 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","buildConfigurationIsNotCreatedForInvalidBuildTypeName","buildConfigurationIsNotCreatedForInvalidBuildTypeName",""
"broken","Fri Apr 12 18:30:58 GMT 2024","Fri Apr 12 18:30:58 GMT 2024","95","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForSpecialSymbolsInNameTest","buildConfigurationCreatedForSpecialSymbolsInNameTest",""
"broken","Fri Apr 12 18:30:54 GMT 2024","Fri Apr 12 18:30:54 GMT 2024","85","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForTheSameIdTest","projectIsNotCreatedForTheSameIdTest",""
"broken","Fri Apr 12 18:31:07 GMT 2024","Fri Apr 12 18:31:07 GMT 2024","44","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"broken","Fri Apr 12 18:31:07 GMT 2024","Fri Apr 12 18:31:07 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","afterTest","afterTest",""
