"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 12:38:39 GMT 2024","Sat Apr 13 12:38:39 GMT 2024","119","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject","projectAdminShouldHaveRightsToCreateBuildConfigToHisProject",""
"passed","Sat Apr 13 12:35:46 GMT 2024","Sat Apr 13 12:36:40 GMT 2024","54146","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Apr 13 12:38:23 GMT 2024","Sat Apr 13 12:38:29 GMT 2024","5818","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedFor4000SymbolsInNameTest","projectCreatedFor4000SymbolsInNameTest",""
"passed","Sat Apr 13 12:38:29 GMT 2024","Sat Apr 13 12:38:29 GMT 2024","198","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForRussianPolandEncodingInNameTest","projectCreatedForRussianPolandEncodingInNameTest",""
"passed","Sat Apr 13 12:38:37 GMT 2024","Sat Apr 13 12:38:38 GMT 2024","129","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest",""
"broken","Sat Apr 13 12:39:45 GMT 2024","Sat Apr 13 12:39:45 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","afterTest","afterTest",""
"passed","Sat Apr 13 12:38:38 GMT 2024","Sat Apr 13 12:38:38 GMT 2024","125","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyIdTest","buildConfigurationIsNotCreatedForEmptyIdTest",""
"broken","Sat Apr 13 12:38:39 GMT 2024","Sat Apr 13 12:38:39 GMT 2024","88","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyNameTest","buildConfigurationIsNotCreatedForEmptyNameTest",""
"passed","Sat Apr 13 12:38:32 GMT 2024","Sat Apr 13 12:38:33 GMT 2024","186","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForTheSameIdTest","projectIsNotCreatedForTheSameIdTest",""
"passed","Sat Apr 13 12:38:36 GMT 2024","Sat Apr 13 12:38:36 GMT 2024","215","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForSpecialSymbolsInNameTest","buildConfigurationCreatedForSpecialSymbolsInNameTest",""
