"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 21:15:18 GMT 2024","Wed Apr 10 21:15:18 GMT 2024","70","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForInvalidParentIdTest","projectIsNotCreatedForInvalidParentIdTest",""
"passed","Wed Apr 10 21:15:20 GMT 2024","Wed Apr 10 21:15:20 GMT 2024","201","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigIsNotCreatedForIncorrectRoleTest","buildConfigIsNotCreatedForIncorrectRoleTest",""
"failed","Wed Apr 10 21:15:28 GMT 2024","Wed Apr 10 21:15:28 GMT 2024","8","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"passed","Wed Apr 10 21:15:20 GMT 2024","Wed Apr 10 21:15:21 GMT 2024","788","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedFor4000SymbolsInNameTest","buildConfigurationCreatedFor4000SymbolsInNameTest",""
"passed","Wed Apr 10 21:12:29 GMT 2024","Wed Apr 10 21:13:27 GMT 2024","58175","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Wed Apr 10 21:15:22 GMT 2024","Wed Apr 10 21:15:22 GMT 2024","187","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForProjectAdminRoleTest","buildConfigurationCreatedForProjectAdminRoleTest",""
"passed","Wed Apr 10 21:15:16 GMT 2024","Wed Apr 10 21:15:16 GMT 2024","163","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForRussianPolandEncodingInNameTest","projectCreatedForRussianPolandEncodingInNameTest",""
"failed","Wed Apr 10 21:15:19 GMT 2024","Wed Apr 10 21:15:19 GMT 2024","104","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForUnauthorizedUserTest","projectIsNotCreatedForUnauthorizedUserTest",""
"passed","Wed Apr 10 21:15:29 GMT 2024","Wed Apr 10 21:15:59 GMT 2024","30661","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"passed","Wed Apr 10 21:15:24 GMT 2024","Wed Apr 10 21:15:24 GMT 2024","144","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationIsNotCreatedForEmptyIdTest","buildConfigurationIsNotCreatedForEmptyIdTest",""
"skipped","Wed Apr 10 21:16:33 GMT 2024","Wed Apr 10 21:16:33 GMT 2024","0","UI Suite","UI Test","com.example.teamcity.ui.CreateBuildConfigTest","com.example.teamcity.ui.CreateBuildConfigTest","buildConfigurationIsNotCreatedForInvalidBuildTypeName","buildConfigurationIsNotCreatedForInvalidBuildTypeName",""
"failed","Wed Apr 10 21:15:26 GMT 2024","Wed Apr 10 21:15:26 GMT 2024","174","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Wed Apr 10 21:15:17 GMT 2024","Wed Apr 10 21:15:17 GMT 2024","167","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForStandardPositiveCaseTest","projectCreatedForStandardPositiveCaseTest",""
"passed","Wed Apr 10 21:15:23 GMT 2024","Wed Apr 10 21:15:23 GMT 2024","131","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForStandardPositiveCaseTest","buildConfigurationCreatedForStandardPositiveCaseTest",""
"passed","Wed Apr 10 21:15:19 GMT 2024","Wed Apr 10 21:15:19 GMT 2024","151","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectIsNotCreatedForTheSameIdTest","projectIsNotCreatedForTheSameIdTest",""
"passed","Wed Apr 10 21:15:16 GMT 2024","Wed Apr 10 21:15:16 GMT 2024","134","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","projectCreatedForSpecialSymbolsInNameTest","projectCreatedForSpecialSymbolsInNameTest",""
"skipped","Wed Apr 10 21:16:00 GMT 2024","Wed Apr 10 21:16:00 GMT 2024","17","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","projectIsNotCreatedForInvalidUrl","projectIsNotCreatedForInvalidUrl",""
"passed","Wed Apr 10 21:14:35 GMT 2024","Wed Apr 10 21:14:59 GMT 2024","23770","Surefire suite","Surefire test","com.example.teamcity.api.AuthorizeAgentTest","com.example.teamcity.api.AuthorizeAgentTest","authorizeAgent","authorizeAgent",""
"passed","Wed Apr 10 21:15:23 GMT 2024","Wed Apr 10 21:15:24 GMT 2024","133","API Suite","API Test","com.example.teamcity.api.CreateBuildConfigTest","com.example.teamcity.api.CreateBuildConfigTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest","buildConfigurationCreatedForUkrainianPolandEncodingInNameTest",""
"passed","Wed Apr 10 21:15:27 GMT 2024","Wed Apr 10 21:15:27 GMT 2024","61","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
